merchant_id,merchant_name,medium,purchase_date,category,status,description
$2a$04$GVftm6XPftobRBdzuP0VtuvPyiNXpDAux6ehTwV6gQZOuzwiVKcYC,Eayo,balance,29-02-2024,food,pending,Opela
$2a$04$rD5Gc0lshTmH/8eUrGhXaOUJXrNPVHPgSc3uVB1pBxM4PbbNBYCSO,Yakidoo,balance,24-04-2023,shopping,pending,Y-Solowarm
$2a$04$gFl814KvQXPAjtzb7rSMBuP0.Ki9jjejDgm8VPa.rMAofUBjcnriy,Twinder,balance,14-04-2024,healthcare,completed,Holdlamis
$2a$04$5I3yGawJzT73SsdJfRdI.O1LFfOg/ncYMbcX8N2M7w.tMSrjkSXXK,Livetube,balance,04-08-2023,shopping,pending,Duobam
$2a$04$Awj4LnxRQP2cYD9kmT/zze1/V.8bOm/wHeJWakk6./BcWdInnuqk6,Skipstorm,balance,18-07-2023,healthcare,completed,Zathin
$2a$04$jAdMv/WgCeoPM9bBWeniRec9o/qNjDTN7TZhdMK1a/ztcQ/QMOdyS,Voomm,balance,23-03-2024,food,pending,Prodder
$2a$04$E0f9aZ9zTRin.b1ASzcXs.ezSQwW0f3Nm.DMFufidHni8agqyvhWy,Skiba,balance,05-07-2023,shopping,pending,Gembucket
$2a$04$OPmGuNdtFJM6fD5.90MGZOrC2VBjvJ9VP2dmELOHWNDgZjIPvK94O,Meevee,balance,27-05-2023,food,pending,Asoka
$2a$04$Td6ICo7buBTuqJ2Nlogb9Ov9W01gSXFBqFF29T9Nvryz6IPLxbPGq,Reallinks,rewards,31-10-2023,food,pending,Span
$2a$04$q1SXjoxxy7sP4Gp8NFuyR.hb6ttb/rsx0cTJ.h/ET7UqTByGjpQ6e,Centizu,balance,10-05-2023,healthcare,pending,It
$2a$04$b4LXyOmkKE09NUcXW/Azj.q2J8UhG0dgxTs16P.CD.GSPp5xwSHZy,Skyndu,balance,01-09-2023,food,completed,Konklab
$2a$04$aEKTqrydOOJ.H0p0KxcVH.DpoWOlORxt5Qg4FdfOUdAS.1xppuKeO,Jaloo,balance,16-08-2023,food,pending,Gembucket
$2a$04$hv5joj7WKvIz49voplonvOIPaAumnaA2hmzDhs9RoQS5pPu8GteeC,Yambee,balance,18-07-2023,healthcare,pending,Cardguard
$2a$04$PwWyQLbvzWHc4zJTa0Lrbup50AWF4D5xADd.vxk8Q7SeXjJisEnKC,Oyoba,balance,07-05-2023,entertainment,pending,Voltsillam
$2a$04$Nc0g07xeEdVuBaa487Pez.8ErT0.6cZl3zsj8BsOBt5mKOx6rN5vq,Meeveo,balance,10-08-2023,healthcare,pending,Vagram
$2a$04$H9L1pCAO3wbLYZcuQEkY3eLd8znIS0zOXq5Z/qS4vIsE9LsZbgbYe,Oyondu,balance,17-04-2024,food,pending,Holdlamis
$2a$04$bM2CnuCF8fqjsemAmV465.ponydtbYXDe4FutpG0IFxBA8wOFrIuK,Thoughtsphere,balance,28-07-2023,food,pending,Span
$2a$04$rdfp2DXuoh0vpwmqyeeUDO0COdMq.KZXATzIqMABRweuw5Zq2.Ega,Nlounge,balance,24-09-2023,food,pending,Job
$2a$04$dLskS7jDpAJ6dELV.q0mLO8EIbTh7dgWRCl8YiDkTZ134on7tvly6,Brightdog,balance,24-09-2023,healthcare,pending,Pannier
$2a$04$M0fsCQXOThAAk4PJ3sh8YuTvR2RJIaxkZ6c2cCFQbd9DGX8Ir8Ev6,Linktype,balance,22-02-2024,food,cancelled,Kanlam
$2a$04$GOQKov3fO2YsFRRdMP9FVOVYD/MRR1ALHuiqrBjHIiBIam/85HTfm,Quaxo,balance,09-07-2023,entertainment,pending,Greenlam
$2a$04$Zt6CsTPVVEJdl71eK5lk7.sGHCUlVR6TzrMc7EYXU4G.w0adEB47a,Photolist,rewards,24-07-2023,entertainment,pending,Voltsillam
$2a$04$GV.9.IUEU7sCoOCjGFebqOVhp/fxkDWxyBWdPvTbVtQGag1tYaxqe,Skinix,balance,12-09-2023,entertainment,pending,Voyatouch
$2a$04$Z0hJlDfr9z40wxsoQ7zEye2hxGNZ51oZi8tRe29v8EVW6yCarvMme,Yombu,balance,21-07-2023,food,pending,Holdlamis
$2a$04$idwMhJBJxJglCfzp9olva.3uQJ1mCfYF2YRyYjHgX4HXcyh76pOV6,Jetpulse,balance,11-12-2023,food,pending,Overhold
$2a$04$9NQ3XFvN/rVWeHyIPO44qeEYCiFvbXvD4sROe0nxRKIeuaLiSFGI.,Trupe,balance,18-07-2023,entertainment,pending,Home Ing
$2a$04$S19tHTdu.3g0tDVYpULmqOcXkwLzioQsmt3nyU4znjMKBvgvblluC,Skaboo,balance,04-10-2023,food,pending,Zoolab
$2a$04$BPVqFKL7JZjVXNYkRjr2k.8caLO15Afj1mc.g7zcHFzBLbMs8Yhty,Ntag,balance,17-05-2023,shopping,pending,Sub-Ex
$2a$04$bd0aiuAPxXJEN5Rkrt6xPuz5LWoDqcmLmgn5p.GmojRC.TI4GoYxW,Gigazoom,balance,28-07-2023,shopping,pending,Domainer
$2a$04$dswA6a2oS4YFJNmjngLxxeGIT.kweW9j5j7yhO1oFr1E7YGk7vVQW,Minyx,balance,11-10-2023,entertainment,pending,Stronghold
$2a$04$5oMzXvWDigJr9Kw.0oq58ecrs0R.KR4hOBQaAtdnrz.BTDWUz1d5u,Gigashots,balance,04-09-2023,healthcare,cancelled,Lotlux
$2a$04$LK9Pv1BWDrInFWWJ0Dga2OEbr7JfGoWKHG6Oo7hDXgy52zXT2OPgG,Shufflebeat,balance,17-07-2023,shopping,cancelled,Span
$2a$04$oTJorg8IZn3NEzh4.oA2J.xZ4aFavqF31HslHp2URyo76/qhPRdT2,Edgewire,balance,27-12-2023,entertainment,cancelled,Alpha
$2a$04$rpm1EHbz8ZLK3xeOqdyJvuiK/44aUWeGQgdS57KNpyIbNgamJKHN6,Feedspan,balance,03-10-2023,shopping,pending,Subin
$2a$04$ryCNa54ySHMn0T.nDsZM9enQvUDCGo9t3EdyOZmDZnjYSiSY8RMRK,Chatterpoint,balance,19-11-2023,food,pending,Bitchip
$2a$04$XxUCfkmieeSjAor27GgKVOcGrhjxFGRzl/uUOCLjlFbpMcXw2TW.q,Skaboo,balance,10-11-2023,food,cancelled,Bitwolf
$2a$04$Px23WLmzPb.JInK/09NJ.uRBqlJn83G/1JdJjML43iYc6ocCJ5JWm,Skinte,balance,18-04-2024,entertainment,pending,Biodex
$2a$04$vPvap2Fu6kc8uRtPpslTe.xn4G1koBMt9tA8RXPPpu3XUHMf9PQvS,Photobug,rewards,25-11-2023,food,pending,Hatity
$2a$04$R7F9lWOZGG9sppU/V2NF2eRNjju47nnqVB7bvjkusvNmmZ1xYrjCK,Oodoo,balance,11-04-2024,shopping,pending,Bitchip
$2a$04$uLu2JONyv6JxGMi10VBrpuzyzehRY8aaYlioqcKOE.8s6Kgddt/4S,Camimbo,balance,06-09-2023,shopping,pending,Vagram
$2a$04$PGwGVxgYN8y.byRc/4BbGuN/lOvy4ktuICUTODXSunFjeraNH6ArC,Zoonoodle,balance,25-09-2023,entertainment,pending,Konklab
$2a$04$BZlRVCNmLkFXaU2kiX63CeUrYbuHgoVlzOxpy3na3cjJy7rH5pmZC,Mymm,balance,17-09-2023,shopping,pending,Namfix
$2a$04$S1aoJqSqojkYOOrocEcaM.w6lFu.Jr0afFSROzjc6kncYc8N1zDBu,Roombo,balance,09-03-2024,entertainment,pending,Otcom
$2a$04$vu0F8YJX7dVp65/QyuZzfu.YlpjmeerMd8/IVEeO0SksXMKF2QUsS,Pixope,balance,20-09-2023,food,pending,Rank
$2a$04$p2x71BPH6EKy6qH.zNyAVuzLCnsxWW.9T4oJWG.S8hmufQRAqVeoi,Zoozzy,balance,11-05-2023,healthcare,pending,Zathin
$2a$04$Msn/XFSdK0DG6BK4lF2N1uW.g/KWJH96sDd9Ux6Tkc6RrE0nRhGXa,Wikizz,balance,05-10-2023,entertainment,pending,Bamity
$2a$04$88uxut1AhNG6pyajoOAzzO798H3m9hN5Qt1PklAoB43XXpPIjEq2G,Myworks,balance,03-09-2023,food,pending,Otcom
$2a$04$irK51kGUvkGtNImUWzV0OuIQ1e6P5F6Nz7heV5Xa1TNkTPM5Jpoom,Browsebug,balance,27-06-2023,entertainment,pending,Zamit
$2a$04$Ae3nrHLvWy13l2OKJl5QuuSWJWhtqvJ88bKvqfE/JyJiIhGX7RWcu,Abata,balance,15-01-2024,food,pending,Tampflex
$2a$04$XBDi4rgCy5KhhgVwd.udzudXSB6A6s1lagF0oIxKmcILOOCFep.UG,Vidoo,balance,10-02-2024,entertainment,pending,Aerified
$2a$04$RXbmRt5eCr2FUgNTvAkO4u8RUas2ROdt64F5GaZnfQgNx4kLeaVUO,Meevee,rewards,04-06-2023,food,pending,Kanlam
$2a$04$kKDHVC1r/yzmK81EiZ03EOcjF/X2VYs.Oeo8M0Pn1/E5pgIgpKoOu,Edgetag,balance,16-02-2024,healthcare,pending,Konklux
$2a$04$DKPOsNQYF15ARxXoyGNyd.m7O/nxHSPfXzSs3pJRwLy3OJ.GY.lcm,Gigashots,rewards,03-09-2023,entertainment,pending,Span
$2a$04$5NBTLNPL8EuEABwI4E7RpOwvPy6fbt1HK2r44socOgxVEaZy4XSbS,Plambee,balance,11-03-2024,food,pending,Veribet
$2a$04$r5.7glIyiTI1EUhuAs1E/O3hJK30Mdki9mlsvdQUP2VXIc1LAiYou,Yakidoo,balance,03-02-2024,food,cancelled,Tres-Zap
$2a$04$XLl8G0chJdponIYhmp8t/uGIELcaxHnBcIqrxnbgdjxKSJFhmsbIy,Midel,balance,16-06-2023,entertainment,pending,Fixflex
$2a$04$hp998gqb3MrgWAf7p1hRte85ZipTE7KSLSsECM9Ho9Dxb0LSF40Dq,Myworks,balance,22-07-2023,healthcare,pending,Voltsillam
$2a$04$P.XA9QiRSXzUlLIu4sINDefZL7Jtu4qreOGyNnWSB/YBMZp/54ApC,Eimbee,balance,31-07-2023,entertainment,pending,Tampflex
$2a$04$ePJ7g3xaUolPOBYjC9RLNeNND34864mRwMj3UoD9tHg6h2rcAsucK,Zava,balance,25-04-2023,food,pending,Bitwolf
$2a$04$j.zUkU0rooBmiW1nlxIWveuSZN4MPxFEVd51WWk0Q6.a9DBA//KIu,Skidoo,balance,25-09-2023,food,pending,Tin
$2a$04$GtYLf8pLE6tsx6nxiE7pduwZ65cMFjIoGmCuoX1Wz2yNA2lRZ.BiO,Roomm,balance,25-08-2023,healthcare,pending,Gembucket
$2a$04$QrcBRgV.DIiWPLd9OXaE8eYxnpLX3kAQL2NZUZathR08ZT3qL45vy,Zoomlounge,balance,19-09-2023,healthcare,pending,Fintone
$2a$04$FDH3WRaHh08bUY42R/27n.UnwMHZCOeFCaB2NsYttVuVg7VRFHvru,Shuffledrive,balance,28-10-2023,healthcare,pending,Domainer
$2a$04$OCbYj2V1eH4v5hiFsuT6g.5vkmZbBpGGv8WnlENExHLd6JHmqPtg2,Oodoo,balance,17-06-2023,healthcare,pending,Biodex
$2a$04$6WkLDKnFmeNbpibpn4OXPuKDhqldR1dD68BqaMgbdeo65TU4Eudcm,Babblestorm,balance,14-11-2023,food,pending,Y-Solowarm
$2a$04$Ps1w1Azkti0Lvc4ciRnOOu8deg2A9JWQGTcZ877Yj7Mxem3wRPK2O,Leexo,balance,17-02-2024,entertainment,pending,Zoolab
$2a$04$VhDyhIPmIOQ82ODrvIplZOUmCDDBC.Thxu.soXxWMVwIDEicpUL8e,Jaxbean,balance,25-01-2024,food,pending,Lotlux
$2a$04$jr3Tn5aK6qB8Im44TOiox.LmR4vgzB0i3l/MO0rAyFyL3tjLunmTm,Roodel,balance,01-01-2024,shopping,pending,Matsoft
$2a$04$zoA.aiEl4VFPDEvy9pQFreC9RJe2pZHsjF7TpytQIWNuvK7w5iMmq,Jabbersphere,balance,02-12-2023,food,pending,Viva
$2a$04$mt8urRtNTDPwHkUFU.CfA.wbJ79qKP.lp.DVFvKMOLqwOfBCUpcc2,Gabtype,balance,10-10-2023,healthcare,pending,Sonsing
$2a$04$.W7ka0yiBEpqwuFtlTXH5OdakVBXX3RxoPIjnmRWIorkK45x3kMDG,Zoozzy,balance,14-06-2023,food,pending,Aerified
$2a$04$nTGhIRtGxKeR6YH.kHIdkOaNRsgZ3uAO4fDYO.Cz/TV037k6ex6vW,Quire,balance,22-09-2023,healthcare,pending,Cardguard
$2a$04$TklWFx22o9cLgGLLzw9h6uzlzkNQQRlfCDqjcPKpCcdXa8N87b.vO,Youbridge,balance,05-06-2023,shopping,pending,Bamity
$2a$04$VcGFtf/r1A8GNevZ34uO8.rNp0R2chOZH3m7kSQmRHvxZPOND1xwK,Photospace,balance,01-03-2024,shopping,pending,Sonair
$2a$04$rAlgm09E4u8dEb0TS4WcwOJXbsE3JmWVfD/d9AYYaxYPVlS9tiIq6,Blogpad,balance,24-03-2024,healthcare,pending,Stringtough
$2a$04$eUvC0W/lI8cu/kS0CGjKb.J8VoSopiamX2IvTIJEe8b0BDnZAspJu,Oyonder,rewards,11-06-2023,food,pending,Tin
$2a$04$OZzh0iS.GW7zSYJRg0YXu.rUFwd6ZpuuafkaQGz4NPMcEMC3UX13S,Meevee,balance,01-06-2023,entertainment,pending,Quo Lux
$2a$04$2AY7JiUzLeSYV7XCg61Vx.45HzJqnrQm.OeL.0MQux72sdyc0WHIi,Rhynyx,balance,11-06-2023,healthcare,pending,Y-Solowarm
$2a$04$zH9XXQwpDIIxiFK5Hg2E6.2UFY6naXjZTeYVlFprlklR8kh/KmCyW,Yombu,balance,23-02-2024,food,pending,Tresom
$2a$04$MkDT4Qn3mYDXo7czXmJV2enZ2jqwKY3bplV17jOEzBAjoj2RctBi.,Dablist,rewards,18-04-2024,food,pending,Viva
$2a$04$uJOKtXNAoDiBxQAe3Os4d.wnsHP9GLegDkOQEJgjHro.nTxULryM6,Feedspan,balance,24-03-2024,entertainment,pending,Gembucket
$2a$04$t/iavrsTIXe/IkRGGBw1AuzqHLNOZKrGBGAbtpoc0X3hqSGgzU/oK,Photojam,balance,03-10-2023,healthcare,pending,Domainer
$2a$04$2AZj7L4nXzrSHbOrsLn3Jumcs5k0LnFeW7inwwfG5yEES7oFvCxXa,Gigashots,balance,01-02-2024,food,pending,Prodder
$2a$04$NITpWWkA4nHP2TE2vtOJPOvqBmHi0HGFqJfHYYK3b7G9d8I1k8RQK,Realbridge,balance,10-10-2023,food,pending,Zaam-Dox
$2a$04$VgV7UtEvy5nXaGMBkzeLv.oRqvsZhCfEULf2M6sPJbqcsnFiHbq9i,Flipstorm,balance,06-07-2023,entertainment,pending,Vagram
$2a$04$HD4uK3/asN6IIHeekjDVcOzIML/nQsjPyyVr75fi0QNhIrTkHkg3u,Jaxspan,balance,20-02-2024,food,pending,Tin
$2a$04$GGsHsDHjrVmg.wb6JXRRvOAunTl4q6K8IHDuk41zw6kDJpA6QUSka,Reallinks,balance,20-12-2023,healthcare,pending,Trippledex
$2a$04$5y.z83CO8oPLabIo4FakJexAlB7h05294bQrgTzT76q4tBCFseE1K,LiveZ,balance,07-06-2023,food,pending,Job
$2a$04$Kvc3rRkAUILjQ.9jGTCsLuCiaIPK76KDPicFmjge6oOrZv.c0uX0.,Tagtune,balance,15-06-2023,entertainment,pending,Bitwolf
$2a$04$xtWZ7aW7yuHd.d/dNzBA8OBJrYY23NabOzmXvGbvUdbfB11wyFTUy,Quimm,balance,30-10-2023,food,pending,Trippledex
$2a$04$EkvMoM2Mn2PyveN.sPWxo.eTqbPqNkdrWf1heL5SbGfCZLZ62Oa6O,Twimbo,rewards,31-08-2023,entertainment,pending,Zoolab
$2a$04$ngLoDHI0eQFpGla.ZVLQI.VgFzZFLQx2MTlCt1fl7VY/9nOd5vMwS,Topicstorm,balance,20-01-2024,food,pending,Bigtax
$2a$04$KOdpS8eZVo33yvfYbLy4f.l9HCn7EezsL/FOWO43DMbyne1.2YwK2,Aimbo,balance,17-05-2023,entertainment,pending,Fixflex
$2a$04$Cq2fLe7xAmaawFRI.7cBBehaFm0CoKUCv9lmEXsldqYaVtD8YmRru,Gabspot,rewards,23-12-2023,food,pending,Tampflex
$2a$04$30st6IdhTRCVhuemDXEZAuCM7ozeA9Q3hmLl9MgGa68ARTV2DERu6,Dynabox,balance,17-08-2023,entertainment,pending,Alphazap
$2a$04$/ggtpQ8DAF1.o2SEH4EoE.RR/Kgn0DZMZwJAcDBZEp4k5ED9IgQ8y,Tagtune,balance,02-02-2024,entertainment,pending,Mat Lam Tam
$2a$04$Xmtt0vaGzs6Rg9Uza.2z9OcA3O4/ui1J/gFfqN/Tk57YHv4joSgBK,Meevee,balance,07-06-2023,food,pending,Latlux
$2a$04$2Ox9fVVwSD804S44t8JbR.d99oz1TkTrdGUXRuZGLD2IBgiR1r3DW,Edgeblab,balance,11-09-2023,entertainment,pending,Wrapsafe
$2a$04$3LLLs7B3igephgFjsMc.3emX6TqnqawLPMt9x8jQNJZQo6APXtmUy,Flashspan,balance,08-05-2023,food,pending,Bitchip
$2a$04$oaGHONHDm5H.14v2EgC5MuEbGbxWtj33dKvjoBs/.gBXzuV10qrhe,Babbleset,balance,15-07-2023,shopping,pending,Kanlam
$2a$04$FA02HiqWHWwKLZPYcMqMWuekXBNFIzvaOmOenHmfeDp4huhyjMp4y,Zoombox,balance,28-06-2023,healthcare,pending,Zamit
$2a$04$a7m6YQ/bWbj6AzWgmwbnmOJ.qOzYcjTgKEXPa3gplYc95KN/WHkQm,Jaxworks,balance,06-02-2024,entertainment,pending,Lotstring
$2a$04$cszvYyFzrSB8WcMvkKsxT.WlVLEv9HkzA6giSiKhgHJjbrU4rb0Le,Edgepulse,balance,30-04-2023,shopping,pending,Solarbreeze
$2a$04$XT8ueuJPO0o0NvmLr5XI/Orx7600nJIdL9U.RizGfat1Aaz3KX/cq,Myworks,rewards,24-12-2023,food,pending,Matsoft
$2a$04$BnLdZ/aznKKsKzLJaGlhN.XQJos/wUYjAouZy9jasxmjyx.1LamMG,Fatz,balance,25-11-2023,food,pending,Bitwolf
$2a$04$pobdA.I6bNoGFJ97v2EyJOlagA8jU579ILwTHkjXLVai4Ot9agw3e,Yakitri,balance,05-09-2023,entertainment,pending,Holdlamis
$2a$04$Kh..ehqKw0iVeNI4JwpuqOYpHzzYL3w.Ho5k/bi1gDi71S6Ym6sZW,Eimbee,balance,08-07-2023,entertainment,pending,Daltfresh
$2a$04$.zrCOWLCV3KZTFIawhxeUOmC8htzUjQt1KbT8vi8ylXuAGW7YytKa,Buzzbean,balance,16-09-2023,healthcare,pending,Zoolab
$2a$04$QFJbrR70JuJEK7LC5nkNI.asYGf6gIpUlVSID1OpQOctHazYXGPFq,Quinu,rewards,23-09-2023,food,pending,Redhold
$2a$04$EZo1D4Trudh/jbfKmz2oW.W52/LzCipf4t9GUlJwuL.WgWjnIsYli,InnoZ,balance,04-11-2023,shopping,pending,Tin
